Post,Depth
0.979,1.1
0.98,1
0.981,1
0.982,1.1
0.983,1
0.984,1.1
0.985,1.1
0.986,1.3
0.987,1
0.988,1.1
0.989,1
0.99,1.1
0.991,1.1
0.992,1.1
0.993,1.1
0.994,1.3
0.995,1.3
0.996,1.1
0.997,1
0.998,1
0.999,1
1,1.3
1.001,1.1
1.002,1
1.003,1
1.004,1.1
1.005,1
1.006,1
1.007,1.1
1.008,1.1
1.009,1.1
1.01,1
1.011,1
1.012,1.3
1.013,1.4
1.014,1.6
1.015,1.6
1.016,1.6
1.017,1.4
1.018,1
1.019,1.3
1.02,1
1.021,1.1
1.022,1.1
1.023,1.4
1.024,1.1
1.025,1
1.026,1.6
1.027,1.1
1.028,1.6
1.029,1.1
1.03,1.1
1.031,1.4
1.032,1
1.033,1.3
1.034,1
1.035,1
1.036,1.1
1.037,1.1
1.038,1
1.039,2
1.04,1.1
1.041,1.3
1.042,1.4
1.043,1.4
1.044,1.1
1.045,1
1.046,1
1.047,1.1
1.048,1.1
1.049,1
1.05,1
1.051,1.1
1.052,1
1.053,1.1
1.054,1.1
1.055,1.3
1.056,1
1.057,1.3
1.058,1.8
1.059,1.1
1.06,1.4
1.061,1.1
1.062,1
1.063,1.1
1.064,1
1.065,1
1.066,1.6
1.067,1
1.068,1.3
1.069,1
1.07,1.8
1.071,1.3
1.072,1.3
1.073,1
1.074,2
1.075,1
1.076,1
1.077,1
1.078,1.1
1.079,1.3
1.08,1
1.081,1.1
1.082,1.1
1.083,1.1
1.084,1.6
1.085,1
1.086,1.4
1.087,1
1.088,2.2
1.089,1
1.09,1.3
1.091,1
1.092,1
1.093,1
1.094,1.4
1.095,1.1
1.096,1
1.097,1
1.098,1
1.099,1
1.1,1
1.101,1
1.102,1.6
1.103,1
1.104,1
1.105,1.4
1.106,1.3
1.107,1.1
1.108,1
1.109,1.1
1.11,1.4
1.111,1.3
1.112,1
1.113,1
1.114,1.1
1.115,1
1.116,1
1.117,1
1.118,1.3
1.119,1.4
1.12,1.4
1.121,1.1
1.122,1
1.123,1
1.124,1.3
1.125,1
1.126,1.1
1.127,1
1.128,1.1
1.129,1.1
1.13,1.8
1.131,1
1.132,1
1.133,1.1
1.134,1.4
1.135,1
1.136,1.6
1.137,1
1.138,1.4
1.139,1.1
1.14,1
1.141,1.1
1.142,1
1.143,1
1.144,1.8
1.145,1.4
1.146,1
1.147,1.4
1.148,1.1
1.149,1.3
1.15,1.3
1.151,1
1.152,1.1
1.153,1.1
1.154,1.4
1.155,1
1.156,1.3
1.157,1
1.158,1
1.159,1
1.16,1.3
1.161,1.1
1.162,1.1
1.163,1.1
1.164,1
1.165,1.1
1.166,1
1.167,1
1.168,1.1
1.169,1
1.17,1
1.171,1
1.172,1.3
1.173,1.1
1.174,1.3
1.175,1.1
1.176,1.1
1.177,1.1
1.178,1.1
1.179,1
1.18,1.1
1.181,1
1.182,1
1.183,1.1
1.184,1.6
1.185,1.1
1.186,1.1
