Post,Depth
0.632,1.76
0.633,1.4
0.634,1.4
0.635,1.4
0.636,1.52
0.637,1.52
0.638,1.4
0.639,1.4
0.64,1.52
0.641,1.4
0.642,1.76
0.643,1.52
0.644,1.52
0.645,1.4
0.646,1.4
0.647,1.88
0.648,1.76
0.649,2.12
0.65,1.52
0.651,1.4
0.652,1.52
0.653,2.84
0.654,1.52
0.655,1.4
0.656,1.4
0.657,1.4
0.658,1.76
0.659,1.4
0.66,1.76
0.661,1.52
0.662,1.76
0.663,1.4
0.664,1.88
0.665,2.6
0.666,1.4
0.667,1.4
0.668,2.12
0.669,4.04
0.67,2.36
0.671,1.88
0.672,1.4
0.673,1.4
0.674,1.52
0.675,2.12
0.676,1.88
0.677,0.8
0.678,1.52
0.679,1.4
0.68,1.4
0.681,1.76
0.682,1.52
0.683,1.4
0.684,1.4
0.685,1.4
0.686,1.88
0.687,1.4
0.688,1.4
0.689,1.4
0.69,1.88
0.691,1.4
0.692,1.76
0.693,2.12
0.694,2.12
0.695,1.52
0.696,1.52
0.697,1.4
0.698,1.88
0.699,1.4
0.7,1.76
0.701,1.76
0.702,1.4
0.703,1.4
0.704,1.4
0.705,1.4
0.706,1.76
0.707,1.88
0.708,1.76
0.709,1.76
0.71,1.52
0.711,1.4
0.712,1.52
0.713,1.4
0.714,1.4
0.715,1.52
0.716,2.12
0.717,1.52
0.718,1.4
0.719,2.6
0.72,1.4
0.721,1.88
0.722,2.84
0.723,1.4
0.724,1.4
0.725,1.76
0.726,1.76
0.727,2.36
0.728,1.4
0.729,2.36
0.73,1.4
0.731,1.88
0.732,1.52
0.733,1.4
0.734,1.4
0.735,1.4
0.736,1.76
0.737,1.52
0.738,1.4
0.739,1.52
0.74,1.52
0.741,1.88
0.742,2.36
0.743,1.52
0.744,1.52
0.745,1.76
0.746,1.52
0.747,1.4
0.748,1.4
0.749,1.52
0.75,1.4
0.751,1.76
0.752,1.4
0.753,1.4
0.754,1.52
0.755,1.4
0.756,1.4
0.757,1.4
0.758,1.4
0.759,1.4
0.76,1.76
0.761,1.4
0.762,1.4
0.763,2.84
0.764,1.4
0.765,1.4
0.766,1.4
0.767,1.4
0.768,1.4
0.769,1.52
0.77,1.52
0.771,1.52
0.772,1.4
0.773,1.88
0.774,1.4
0.775,1.4
0.776,1.88
0.777,1.52
0.778,1.52
0.779,1.52
0.78,2.12
0.781,1.52
0.782,1.4
0.783,1.4
0.784,1.52
0.785,1.76
0.786,1.4
0.787,1.52
0.788,1.76
0.789,1.4
0.79,1.4
0.791,1.4
0.792,1.76
0.793,1.76
0.794,1.4
0.795,1.4
0.796,1.76
0.797,1.52
0.798,1.52
0.799,1.4
0.8,1.52
0.801,1.76
0.802,1.52
0.803,1.52
0.804,1.4
0.805,1.4
0.806,1.76
0.807,1.4
0.808,1.52
0.809,1.76
0.81,1.52
0.811,1.76
0.812,2.12
0.813,1.52
0.814,1.4
0.815,1.76
0.816,1.4
0.817,1.4
0.818,1.52
0.819,1.52
0.82,1.4
0.821,1.52
0.822,1.76
0.823,1.88
0.824,1.52
0.825,1.76
0.826,1.4
0.827,1.4
0.828,1.4
0.829,2.6
0.83,1.4
0.831,1.52
0.832,1.52
0.833,1.52
0.834,1.76
0.835,1.4
0.836,1.4
0.837,2.36
0.838,1.4
0.839,1.52
0.84,1.4
0.841,1.52
0.842,1.52
0.843,2.12
0.844,1.4
0.845,1.52
0.846,1.52
0.847,1.76
0.848,1.4
0.849,1.4
0.85,1.52
0.851,2.12
0.852,1.52
0.853,1.4
0.854,1.52
0.855,1.4
0.856,1.52
0.857,2.36
0.858,1.4
0.859,1.76
0.86,1.4
0.861,2.12
0.862,1.52
0.863,2.36
0.864,1.4
0.865,1.4
0.866,1.4
0.867,1.88
0.868,2.12
0.869,1.76
0.87,2.12
0.871,1.52
0.872,1.4
0.873,1.4
0.874,1.4
0.875,3.2
0.876,1.88
0.877,1.4
0.878,1.4
0.879,1.52
0.88,1.4
0.881,1.52
0.882,2.6
0.883,1.52
0.884,1.4
0.885,1.4
0.886,1.4
0.887,1.4
0.888,1.4
0.889,2.12
0.89,1.88
0.891,1.88
0.892,1.52
0.893,1.4
0.894,1.52
0.895,1.4
0.896,1.4
0.897,1.4
0.898,1.88
0.899,1.76
0.9,1.76
0.901,1.88
0.902,1.52
0.903,1.4
0.904,1.4
0.905,1.88
0.906,2.12
0.907,1.76
0.908,1.52
0.909,1.4
0.91,1.76
0.911,1.4
0.912,1.4
0.913,1.88
0.914,1.76
0.915,1.52
0.916,1.76
0.917,1.4
0.918,1.76
0.919,1.4
0.92,1.4
0.921,1.76
0.922,1.4
0.923,1.52
0.924,1.76
0.925,1.52
0.926,1.88
0.927,1.4
0.928,1.4
0.929,1.76
0.93,1.88
0.931,1.4
0.932,1.52
0.933,1.76
0.934,1.52
0.935,1.76
0.936,1.4
0.937,1.76
0.938,1.4
0.939,1.52
0.94,1.4
0.941,1.52
0.942,1.4
0.943,1.4
0.944,2.6
0.945,1.4
0.946,1.88
0.947,1.4
0.948,2.36
0.949,1.4
0.95,1.52
0.951,1.4
0.952,1.4
0.953,1.76
0.954,1.76
0.955,1.4
0.956,1.4
0.957,1.4
0.958,1.88
0.959,2.12
0.96,1.52
0.961,1.88
0.962,1.4
0.963,2.84
0.964,1.76
0.965,1.4
0.966,1.76
0.967,1.52
0.968,1.4
0.969,1.52
0.97,1.4
0.971,1.4
0.972,1.4
0.973,1.76
0.974,1.4
0.975,1.4
0.976,1.76
0.977,2.36
0.978,2.12
0.979,1.52
0.98,1.4
0.981,1.4
0.982,1.52
0.983,1.4
0.984,1.52
0.985,1.52
0.986,1.76
0.987,1.4
0.988,1.52
0.989,1.4
0.99,1.52
0.991,1.52
